Case Reported Date,Temp Max (F),Temp Avg (F),Temp Min (F),Humidity Max,Humidity Avg,Humidity Min,Wind Speed Max (mph),Wind Speed Avg (mph),Wind Speed Min (mph)
2020-02-01,34,32,28,93,85.5,65,17,10.8,2
2020-02-02,36,34.2,32,100,93.1,81,20,9,2
2020-02-03,41,38.1,36,93,74,57,20,11.6,0
2020-02-04,37,35.4,30,70,63.2,55,17,10.6,6
2020-02-05,28,25.1,21,80,61.8,54,17,11,3
2020-02-06,28,26.6,25,93,81.7,74,18,12.4,5
2020-02-07,27,24.6,19,86,74.8,59,22,12.4,5
2020-02-08,21,16.5,10,74,65.7,53,13,6.5,2
2020-02-09,36,30.7,21,100,87.9,74,21,9.7,2
2020-02-10,39,35.7,34,100,85.1,65,14,8.5,5
2020-02-11,37,34.2,32,75,68.2,56,18,11.6,0
2020-02-12,36,32,28,81,70.9,64,21,16,9
2020-02-13,36,27.5,10,100,82.7,62,21,11,3
2020-02-14,18,11.8,0,79,64.8,52,20,11.2,3
2020-02-15,34,25.9,19,87,69.5,60,30,22,17
2020-02-16,39,34.9,32,81,68.3,52,21,15,7
2020-02-17,32,28.8,27,80,67,51,18,10,3
2020-02-18,41,35.4,32,100,89,60,30,15.5,5
2020-02-19,34,27.9,23,69,55.7,47,23,15.4,8
2020-02-20,23,21.7,18,68,57.1,50,16,10.1,3
2020-02-21,34,25.6,18,74,62,44,28,19.3,10
2020-02-22,39,33.5,28,81,65,55,23,15.4,7
2020-02-23,43,38.1,36,81,73.3,61,17,12.2,6
2020-02-24,45,39.8,36,87,74.7,53,15,8.3,0
2020-02-25,43,38.7,36,93,74.3,53,14,9.8,6
2020-02-26,39,32.7,27,93,83.5,52,16,11.1,6
2020-02-27,28,25.9,23,93,71.4,59,43,28.5,14
2020-02-28,27,23.9,19,86,72.4,64,36,23.7,8
2020-02-29,27,18.2,10,79,64.5,47,20,10.8,3
