Case Reported Date,Temp Max (F),Temp Avg (F),Temp Min (F),Humidity Max,Humidity Avg,Humidity Min,Wind Speed Max (mph),Wind Speed Avg (mph),Wind Speed Min (mph)
2020-01-01,32,30,,81,72.9,60,24,18.9,9
2020-01-02,41,38.5,34,93,80.5,70,20,13.6,6
2020-01-03,45,41.4,37,100,80.7,65,16,8.4,5
2020-01-04,39,34.6,32,100,84.5,65,18,7.7,2
2020-01-05,36,33,30,100,81.8,60,23,12.6,3
2020-01-06,37,35.4,32,93,76.2,48,31,18.3,10
2020-01-07,39,33.4,27,86,77,64,16,10.7,2
2020-01-08,34,27.5,19,93,69.2,47,25,15.2,7
2020-01-09,36,24,16,93,70.3,58,18,11.1,2
2020-01-10,43,40.8,36,100,94.5,65,22,6.3,0
2020-01-11,54,43.5,36,100,96.5,87,21,8.2,0
2020-01-12,36,31.4,23,100,85.2,68,23,13.4,3
2020-01-13,36,30.4,25,100,91.9,86,18,9.5,0
2020-01-14,39,27.2,0,100,72.1,0,17,9.8,0
2020-01-15,39,34.7,0,87,71,0,17,9.1,0
2020-01-16,37,33,18,93,76.1,58,25,12.6,7
2020-01-17,19,15.4,9,73,65.4,53,14,6.3,0
2020-01-18,37,29.4,19,100,90.7,68,26,13.7,0
2020-01-19,36,27.1,16,93,75.9,58,30,16.1,7
2020-01-20,25,17.9,9,80,67.3,50,16,10.7,6
2020-01-21,28,25.7,21,80,71.5,64,22,12.7,0
2020-01-22,34,28.9,23,86,76.6,65,23,18.1,10
2020-01-23,36,32.4,28,93,76.9,69,13,5.3,0
2020-01-24,37,36.1,34,93,79.9,70,26,20.2,9
2020-01-25,37,36.9,36,100,94.1,87,28,15,0
2020-01-26,37,36.2,34,93,88.2,81,17,14.6,12
2020-01-27,36,35.2,34,87,77.5,70,16,11.4,7
2020-01-28,36,32.7,30,93,79,56,15,8.5,3
2020-01-29,30,25.7,21,80,68.5,51,13,7.9,0
2020-01-30,30,27.2,25,86,77.5,59,14,10.1,0
2020-01-31,34,30.1,27,86,77.7,69,8,5,0
