Case Reported Date,Temp Max (F),Temp Avg (F),Temp Min (F),Humidity Max,Humidity Avg,Humidity Min,Wind Speed Max (mph),Wind Speed Avg (mph),Wind Speed Min (mph)
2020-06-01,75,59.4,50,76,55.3,25,18,10.1,3
2020-06-02,68,58.8,54,94,79.1,60,24,11.7,2
2020-06-03,82,61.4,54,100,87.2,42,21,8.5,0
2020-06-04,77,64.4,57,88,79,61,15,6.8,2
2020-06-05,77,67.3,57,100,86,65,28,8.4,2
2020-06-06,75,67.5,59,94,62.4,44,16,8.7,2
2020-06-07,68,61.8,57,77,62.9,49,14,7.9,0
2020-06-08,70,61.7,55,73,61,43,9,5.3,0
2020-06-09,84,63.7,0,88,63.7,0,18,5,0
2020-06-10,77,67.5,61,100,82.6,60,37,12.3,2
2020-06-11,75,65.5,59,100,74,44,28,15.3,6
2020-06-12,66,60.6,55,88,54.6,39,22,12.6,5
2020-06-13,61,55.8,52,77,58.9,42,13,8.4,3
2020-06-14,63,57.5,52,82,61.9,42,10,8.3,6
2020-06-15,66,61,55,64,52.2,40,13,8.3,2
2020-06-16,68,61.6,54,72,59.9,46,12,6.3,2
2020-06-17,70,63.8,55,88,68.3,56,12,5.4,0
2020-06-18,73,68.3,59,88,65.4,50,14,7.9,0
2020-06-19,82,71.3,63,94,74.5,54,13,5.8,0
2020-06-20,84,71.5,64,100,81.4,55,8,3.3,0
2020-06-21,81,74.1,68,94,79,61,14,6.6,0
2020-06-22,81,74,70,100,83.5,65,13,5.9,0
2020-06-23,73,71.6,68,100,89.7,73,24,7.9,0
2020-06-24,70,63.3,52,94,67.9,46,26,17.3,7
2020-06-25,75,63.4,52,94,72.5,47,15,7.6,2
2020-06-26,72,63.9,55,94,74,57,16,7.1,0
2020-06-27,81,66.3,63,100,88.5,54,17,5.4,0
2020-06-28,72,62.5,57,100,92,78,12,5.5,2
2020-06-29,79,74.2,70,73,63,54,12,6.7,0
2020-06-30,75,71.3,68,83,74.1,69,15,8,2
