Case Reported Date,Temp Max (F),Temp Avg (F),Temp Min (F),Humidity Max,Humidity Avg,Humidity Min,Wind Speed Max (mph),Wind Speed Avg (mph),Wind Speed Min (mph)
2020-03-01,37,29.2,19,81,68,56,14,8,3
2020-03-02,43,38.5,34,100,93.6,70,16,8,0
2020-03-03,41,37.5,34,100,92.9,81,17,9.8,0
2020-03-04,43,38.1,36,81,69.7,56,23,15.9,0
2020-03-05,39,35.6,32,81,65,56,17,9.8,5
2020-03-06,39,36.1,34,93,74.1,56,23,11.4,3
2020-03-07,37,30.8,23,81,59.1,47,20,11.4,6
2020-03-08,45,40,34,81,74.4,61,16,10.4,0
2020-03-09,50,45.8,41,93,71.5,61,20,9.8,0
2020-03-10,52,43.6,34,100,86.3,56,22,10.6,0
2020-03-11,37,34.1,28,93,76.1,60,21,10.4,0
2020-03-12,41,36.3,34,93,83.1,81,24,15.7,12
2020-03-13,48,42.8,39,100,79.9,49,40,17.4,0
2020-03-14,39,36.5,34,70,61.7,56,17,12.3,6
2020-03-15,36,33,28,65,47.9,32,13,8.6,2
2020-03-16,36,34,30,93,69.7,41,20,8.5,0
2020-03-17,46,39.1,34,100,83,42,24,13.3,5
2020-03-18,39,35.6,30,70,62.3,52,24,12.4,2
2020-03-19,41,39.9,37,93,86.5,75,21,14.7,6
2020-03-20,59,43.2,28,100,89.4,64,35,14.8,0
2020-03-21,30,26.2,19,69,60.7,40,21,9.2,2
2020-03-22,36,29.4,25,69,60.4,54,24,17,8
2020-03-23,39,35,32,100,93.8,70,22,10.7,3
2020-03-24,41,37.9,36,93,78.1,70,12,6.2,2
2020-03-25,43,38.5,37,93,84,76,22,13.2,3
2020-03-26,55,42.2,36,100,86.5,67,17,5.5,0
2020-03-27,45,39.6,37,87,77.7,66,10,6.6,2
2020-03-28,43,40.3,39,100,86,75,29,21.2,9
2020-03-29,61,44.3,41,100,92.4,52,38,22.2,3
2020-03-30,46,44.7,43,93,81.8,71,21,12.1,6
2020-03-31,43,41.7,39,100,92.5,76,23,13.7,2
