Case Reported Date,Temp Max (F),Temp Avg (F),Temp Min (F),Humidity Max,Humidity Avg,Humidity Min,Wind Speed Max (mph),Wind Speed Avg (mph),Wind Speed Min (mph)
2020-05-01,61,48.9,45,100,87.2,42,16,7.4,2
2020-05-02,55,50.1,43,93,71.8,54,15,7.6,3
2020-05-03,70,57.9,45,93,59.5,31,24,9.8,0
2020-05-04,55,47.4,41,76,55.6,25,18,13.4,9
2020-05-05,45,41,37,65,51.8,42,10,6.3,0
2020-05-06,50,45.5,41,66,50.5,30,9,5.4,0
2020-05-07,52,46.8,41,76,52.5,22,22,11.3,2
2020-05-08,41,37.2,32,70,45.7,31,22,12.4,7
2020-05-09,43,36.7,30,81,60.2,36,32,18,7
2020-05-10,46,41.7,36,93,72.2,56,13,7.7,0
2020-05-11,46,40.4,36,93,75.3,45,21,10.9,5
2020-05-12,48,41,32,75,49.1,27,23,11.8,6
2020-05-13,52,42.3,34,76,56.6,28,13,7.5,0
2020-05-14,46,45.2,43,100,78.3,57,18,10.3,0
2020-05-15,61,50.1,43,100,94.4,77,14,5.6,0
2020-05-16,59,51.8,50,94,84.5,63,14,7.2,0
2020-05-17,55,52.9,50,82,74.2,67,25,15.1,8
2020-05-18,54,52.2,50,100,88.4,67,29,24.4,15
2020-05-19,61,55,50,76,54.5,47,26,21.6,13
2020-05-20,61,55.7,50,71,57.8,42,21,15.7,10
2020-05-21,59,53,46,76,56,36,16,9.1,2
2020-05-22,68,56.3,46,87,62.2,37,8,4.3,0
2020-05-23,68,59.5,52,94,81,64,12,4.6,0
2020-05-24,68,61.6,57,88,76.4,67,16,12.4,6
2020-05-25,77,65,57,94,82.4,69,12,7.3,2
2020-05-26,77,65.3,57,100,86.7,69,12,6.4,0
2020-05-27,75,68.7,59,100,78.9,61,12,6,0
2020-05-28,70,64.1,63,100,95.1,73,10,5.2,0
2020-05-29,70,64.3,61,100,88,72,18,8.8,0
2020-05-30,64,57.8,52,100,75.3,48,21,9.1,2
2020-05-31,61,52.8,46,81,59.1,31,15,7.4,0
